Employment by sex, age, highest level of education attained and NUTS 2 regions (1 000) [lfst_r_lfe2eedu];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last update;31.10.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Extracted on;14.11.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Source of data;Eurostat;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Short Description;Short Description is not available;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGE;15 years or over;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ISCED11;All ISCED 2011 levels ;All ISCED 2011 levels ;All ISCED 2011 levels ;All ISCED 2011 levels ;All ISCED 2011 levels ;All ISCED 2011 levels ;All ISCED 2011 levels ;Less than primary, primary and lower secondary (levels 0-2);Less than primary, primary and lower secondary (levels 0-2);Less than primary, primary and lower secondary (levels 0-2);Less than primary, primary and lower secondary (levels 0-2);Less than primary, primary and lower secondary (levels 0-2);Less than primary, primary and lower secondary (levels 0-2);Less than primary, primary and lower secondary (levels 0-2);Upper secondary and post-secondary non-tertiary (levels 3 and 4);Upper secondary and post-secondary non-tertiary (levels 3 and 4);Upper secondary and post-secondary non-tertiary (levels 3 and 4);Upper secondary and post-secondary non-tertiary (levels 3 and 4);Upper secondary and post-secondary non-tertiary (levels 3 and 4);Upper secondary and post-secondary non-tertiary (levels 3 and 4);Upper secondary and post-secondary non-tertiary (levels 3 and 4);Short-cycle tertiary, bachelor or equivalent, master or equivalent and doctoral or equivalent (levels 5-8);Short-cycle tertiary, bachelor or equivalent, master or equivalent and doctoral or equivalent (levels 5-8);Short-cycle tertiary, bachelor or equivalent, master or equivalent and doctoral or equivalent (levels 5-8);Short-cycle tertiary, bachelor or equivalent, master or equivalent and doctoral or equivalent (levels 5-8);Short-cycle tertiary, bachelor or equivalent, master or equivalent and doctoral or equivalent (levels 5-8);Short-cycle tertiary, bachelor or equivalent, master or equivalent and doctoral or equivalent (levels 5-8);Short-cycle tertiary, bachelor or equivalent, master or equivalent and doctoral or equivalent (levels 5-8)
;SEX/TIME;2008;2009;2010;2011;2012;2013;Veè/manj;2008;2009;2010;2011;2012;2013;Veè/manj;2008;2009;2010;2011;2012;2013;Veè/manj;2008;2009;2010;2011;2012;2013;Veè/manj
Belgium;Total;4445,9;4420,7;4488,7;4509,3;4523,9;4530,3;Veè;955,2;903,3;930;898,6;881,9;842,6;Manj;1808,3;1786,5;1739,5;1795,5;1772,6;1817,3;Veè;1682,4;1730,9;1819;1815,1;1869,4;1870,4;Veè
Belgium;Males;2460,7;2429,3;2457,8;2461,9;2466,1;2450,5;Manj;590,4;562,2;575,8;562,5;554,7;523,2;Manj;1044,9;1023,9;1000,6;1024,6;1017,2;1030,9;Manj;825,3;843,2;881,3;874,9;894,2;896,4;Veè
Belgium;Females;1985,2;1991,4;2030,9;2047,3;2057,8;2079,8;Veè;364,7;341,1;354,3;336,2;327,2;319,4;Manj;763,4;762,6;738,9;770,9;755,4;786,4;Veè;857,1;887,7;937,7;940,2;975,2;974;Veè
Bulgaria;Total;3360,7;3253,6;3052,8;2965,2;2934;2934,9;Manj;501,2;469,9;383,3;340;320,3;306,5;Manj;2002,5;1924,7;1838,4;1795,7;1776,1;1741,1;Manj;856,9;858,9;831,2;829,5;837,6;887,4;Veè
Bulgaria;Males;1792,9;1732,3;1608,3;1567,1;1541,7;1546,9;Manj;295,6;278;223,4;198,7;184,9;178,6;Manj;1140,2;1100,1;1054,5;1034,1;1018,2;1005,3;Manj;357,2;354,3;330,4;334,2;338,6;363;Veè
Bulgaria;Females;1567,8;1521,3;1444,5;1398,1;1392,3;1388,1;Manj;205,6;191,9;159,9;141,3;135,3;127,9;Manj;862,4;824,7;783,9;761,5;757,9;735,8;Manj;499,8;504,7;500,8;495,3;499;524,4;Veè
Czech Republic;Total;5002,5;4934,3;4885,2;4872,7;4890;4937,1;Manj;289,8;261,5;238,5;220,2;209,4;207,3;Manj;3922,9;3827,3;3745,8;3687,8;3656;3626,9;Manj;789,4;845,2;899,8;963,9;1023,9;1102,2;Veè
Czech Republic;Males;2863,2;2823,7;2798,3;2777,5;2778,5;2794;Manj;121,6;111,7;101,1;91,8;91,2;97,8;Manj;2290;2234,2;2187,5;2144,7;2132,2;2103,8;Manj;451,4;477,5;509,2;540,5;554,8;592,1;Veè
Czech Republic;Females;2139,3;2110,5;2086,9;2095,2;2111,5;2143;Veè;168,2;149,8;137,4;128,4;118,3;109,5;Manj;1632,9;1593;1558,3;1543,1;1523,9;1523,1;Manj;338;367,7;390,6;423,4;469,1;510,1;Veè
Denmark;Total;2852,8;2770,5;2706,1;2702,7;2688,6;2687,6;Manj;779,4;724,6;672,3;639,4;595,6;574,6;Manj;1189,7;1150,8;1130,7;1148,2;1139,5;1134,8;Manj;830,8;837;841,8;852,9;876,4;891,7;Veè
Denmark;Males;1517,1;1454,2;1414,6;1421;1412,7;1410;Manj;426,8;390,4;367,2;355,4;332;324,1;Manj;662;644,6;621,7;641;647,5;643,6;Manj;398,2;389,6;395,9;392,6;394,1;396,6;Manj
Denmark;Females;1335,6;1316,2;1291,5;1281,6;1275,9;1277,6;Manj;352,6;334,2;305,1;284;263,6;250,5;Manj;527,7;506,2;509,1;507,2;492;491,2;Manj;432,6;447,4;445,9;460,3;482,3;495,1;Veè
Germany (until 1990 former territory of the FRG);Total;38541,5;38471,1;38737,8;39737,1;40080;40450,1;Veè;5605,5;5456;5293,8;5187;5138,6;5131,8;Manj;22746,6;22388,4;22688,7;23103;23168,4;23354,6;Veè;10089,5;10543,4;10701,9;11322,4;11650,3;11844,2;Veè
Germany (until 1990 former territory of the FRG);Males;21032,9;20815,9;20891,7;21403,1;21621,1;21722,1;Veè;2902,9;2812,5;2739,9;2691,4;2671;2679,3;Manj;12061,1;11767,3;11869,7;12180,3;12289;12322,4;Veè;6014;6191,4;6254,9;6463,8;6594,5;6656,2;Veè
Germany (until 1990 former territory of the FRG);Females;17508,5;17655,2;17846,2;18334;18458,9;18728;Veè;2702,6;2643,6;2553,9;2495,6;2467,7;2452,6;Manj;10685,5;10621,1;10819,1;10922,8;10879,5;11032,2;Veè;4075,5;4352;4447;4858,6;5055,8;5188;Veè
Estonia;Total;656;593,9;568;603,2;614,9;621,3;Manj;67,3;51,1;45,7;51,9;49,9;51,8;Manj;359,9;311;302,4;320,9;322,7;319,9;Manj;228,8;231,4;219,6;230,1;242;249,3;Veè
Estonia;Males;334,3;291,3;277,6;302,7;309,4;314,7;Manj;43;32,7;28,8;33,6;33;35;Manj;200,6;171,6;168,5;179,9;182,7;182,3;Manj;90,7;86,9;80,1;89,1;93,6;97,3;Veè
Estonia;Females;321,7;302,6;290,4;300,5;305,5;306,6;Manj;24,3;18,4;16,9;18,3;16,9;16,9;Manj;159,4;139,5;133,9;140,9;140;137,7;Manj;138,1;144,5;139,5;141;148,4;152;Veè
Ireland;Total;2101,2;1961,3;1882,2;1849,1;1837,8;1881,2;Manj;482;406,5;360,5;338,9;316,4;314,1;Manj;795,1;724,7;678,2;665,5;658,9;662;Manj;749,1;766,9;784,1;796,4;825,1;858,3;Veè
Ireland;Males;1180,7;1063,8;1009,8;988,7;980,8;1015,9;Manj;330,3;271,5;237,6;222;208,2;213,2;Manj;446,1;390,7;369,2;364;363,2;372,1;Manj;358,4;364,8;368,2;375,5;389,6;404,8;Veè
Ireland;Females;920,5;897,5;872,4;860,4;857;865,2;Manj;151,8;135;122,9;116,9;108,2;100,9;Manj;348,9;334;309;301,5;295,7;289,9;Manj;390,6;402;415,9;421;435,5;453,5;Veè
Greece;Total;4610,5;4556;4389,8;4054,3;3695;3513,2;Manj;1581,5;1561,6;1450,5;1265,4;1075,7;971,6;Manj;1818,2;1788,8;1726;1589,5;1457,5;1368,5;Manj;1210,8;1205,6;1213,3;1199,5;1161,9;1173,1;Manj
Greece;Males;2786,7;2722,3;2600,6;2390,3;2168,3;2065,3;Manj;1085,7;1061,9;976,3;842,6;713,4;633,8;Manj;1060,3;1033;994,9;921,9;849,2;808,4;Manj;640,8;627,5;629,4;625,7;605,7;623,1;Manj
Greece;Females;1823,7;1833,6;1789,2;1664,1;1526,7;1447,9;Manj;495,8;499,7;474,3;422,8;362,3;337,8;Manj;758;755,8;731,1;667,5;608,3;560,1;Manj;570;578,1;583,9;573,8;556,1;550;Manj
Spain;Total;20469,7;19106,9;18724,5;18421,4;17632,7;17139;Manj;8666,9;7725,6;7315,4;6992,7;6422,4;6099;Manj;4869,8;4554,2;4458,9;4371,4;4184;3974,3;Manj;6932,9;6827,1;6950,1;7057,3;7026,3;7065,7;Veè
Spain;Males;11805,2;10733,1;10423,7;10152,5;9608,2;9315,8;Manj;5538;4829,9;4506,6;4269,3;3875,6;3687,4;Manj;2699;2472,9;2460,7;2377,8;2239,2;2117,2;Manj;3568,2;3430,2;3456,4;3505,3;3493,3;3511,2;Manj
Spain;Females;8664,5;8373,8;8300,8;8268,9;8024,5;7823,2;Manj;3128,9;2895,7;2808,9;2723,4;2546,8;2411,6;Manj;2170,9;2081,2;1998,2;1993,6;1944,8;1857,1;Manj;3364,7;3396,9;3493,7;3551,9;3533;3554,5;Veè
France;Total;26436,3;26181,3;26249,1;26314,9;26311,4;26312,9;Manj;6393,2;6139,1;5992,8;5871;5651,5;5023,9;Manj;11870,2;11582,2;11615,9;11574,9;11429;11664,7;Manj;8157,7;8447,3;8634,5;8866,7;9229,2;9603,7;Veè
France;Males;13960,9;13747,1;13785,3;13814,4;13764,1;13709,3;Manj;3500,5;3339,9;3236,7;3172,9;3085,6;2727;Manj;6625,3;6423,1;6436,7;6394,7;6270,5;6405;Manj;3827,2;3977,4;4108,5;4245,6;4407;4566;Veè
France;Females;12475,4;12434,2;12463,8;12500,5;12547,4;12603,6;Manj;2892,7;2799,2;2756,1;2698,1;2565,8;2296,9;Manj;5244,9;5159,2;5179,2;5180,1;5158,5;5259,7;Veè;4330,5;4469,9;4526;4621;4822,2;5037,7;Veè
